group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
announce-response-to-bytes,,,,,38593056.0,ns,98412
announce-response-to-bytes,,,,,38680924.0,ns,99246
announce-response-to-bytes,,,,,40617213.0,ns,100080
announce-response-to-bytes,,,,,41906024.0,ns,100914
announce-response-to-bytes,,,,,41041352.0,ns,101748
announce-response-to-bytes,,,,,38538882.0,ns,102582
announce-response-to-bytes,,,,,41735389.0,ns,103416
announce-response-to-bytes,,,,,40224762.0,ns,104250
announce-response-to-bytes,,,,,38553395.0,ns,105084
announce-response-to-bytes,,,,,43554083.0,ns,105918
announce-response-to-bytes,,,,,47406564.0,ns,106752
announce-response-to-bytes,,,,,56480165.0,ns,107586
announce-response-to-bytes,,,,,91967709.0,ns,108420
announce-response-to-bytes,,,,,70267868.0,ns,109254
announce-response-to-bytes,,,,,61264770.0,ns,110088
announce-response-to-bytes,,,,,54297414.0,ns,110922
announce-response-to-bytes,,,,,51687286.0,ns,111756
announce-response-to-bytes,,,,,44819348.0,ns,112590
announce-response-to-bytes,,,,,42874131.0,ns,113424
announce-response-to-bytes,,,,,43913594.0,ns,114258
announce-response-to-bytes,,,,,46812560.0,ns,115092
announce-response-to-bytes,,,,,46287006.0,ns,115926
announce-response-to-bytes,,,,,49072602.0,ns,116760
announce-response-to-bytes,,,,,47558337.0,ns,117594
announce-response-to-bytes,,,,,47352920.0,ns,118428
announce-response-to-bytes,,,,,50769323.0,ns,119262
announce-response-to-bytes,,,,,55183783.0,ns,120096
announce-response-to-bytes,,,,,49494642.0,ns,120930
announce-response-to-bytes,,,,,55448875.0,ns,121764
announce-response-to-bytes,,,,,48700357.0,ns,122598
announce-response-to-bytes,,,,,50330907.0,ns,123432
announce-response-to-bytes,,,,,53697755.0,ns,124266
announce-response-to-bytes,,,,,49762155.0,ns,125100
announce-response-to-bytes,,,,,53008326.0,ns,125934
announce-response-to-bytes,,,,,51546722.0,ns,126768
announce-response-to-bytes,,,,,56161128.0,ns,127602
announce-response-to-bytes,,,,,53772217.0,ns,128436
announce-response-to-bytes,,,,,55673258.0,ns,129270
announce-response-to-bytes,,,,,71593480.0,ns,130104
announce-response-to-bytes,,,,,62660534.0,ns,130938
announce-response-to-bytes,,,,,59326325.0,ns,131772
announce-response-to-bytes,,,,,53700593.0,ns,132606
announce-response-to-bytes,,,,,59320179.0,ns,133440
announce-response-to-bytes,,,,,55750442.0,ns,134274
announce-response-to-bytes,,,,,71509511.0,ns,135108
announce-response-to-bytes,,,,,111024616.0,ns,135942
announce-response-to-bytes,,,,,82038122.0,ns,136776
announce-response-to-bytes,,,,,68335686.0,ns,137610
announce-response-to-bytes,,,,,61306890.0,ns,138444
announce-response-to-bytes,,,,,52880526.0,ns,139278
announce-response-to-bytes,,,,,54493727.0,ns,140112
announce-response-to-bytes,,,,,61201864.0,ns,140946
announce-response-to-bytes,,,,,60143294.0,ns,141780
announce-response-to-bytes,,,,,59513326.0,ns,142614
announce-response-to-bytes,,,,,61412396.0,ns,143448
announce-response-to-bytes,,,,,66120687.0,ns,144282
announce-response-to-bytes,,,,,61522190.0,ns,145116
announce-response-to-bytes,,,,,58618097.0,ns,145950
announce-response-to-bytes,,,,,57319173.0,ns,146784
announce-response-to-bytes,,,,,64894003.0,ns,147618
announce-response-to-bytes,,,,,61126869.0,ns,148452
announce-response-to-bytes,,,,,61891833.0,ns,149286
announce-response-to-bytes,,,,,60999476.0,ns,150120
announce-response-to-bytes,,,,,66739799.0,ns,150954
announce-response-to-bytes,,,,,61321591.0,ns,151788
announce-response-to-bytes,,,,,62781927.0,ns,152622
announce-response-to-bytes,,,,,63709477.0,ns,153456
